@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
0.03	5383	5383	S	546871	                  Friedmanniella luteola
0.21	42517	0	F	31957	              Propionibacteriaceae
0.05	10898	0	G	72763	                Tessaracoccus
0.05	10889	0	G	29404	                Microlunatus
0.03	6454	0	F	2726069	              Kribbellaceae
0.03	6454	0	G	182639	                Kribbella
0.50	100120	0	O	85010	            Pseudonocardiales
0.50	100120	0	F	2070	              Pseudonocardiaceae
0.13	26814	0	G	1813	                Amycolatopsis
0.06	11256	0	G1	2618356	                  unclassified Amycolatopsis
0.03	6819	6819	S	33910	                  Amycolatopsis mediterranei
0.13	26362	0	G	1847	                Pseudonocardia
0.07	14022	0	G1	2619320	                  unclassified Pseudonocardia
0.03	5100	5100	S	2736640	                  Pseudonocardia broussonetiae
0.06	12863	0	G	2071	                Saccharothrix
0.03	6001	0	G	1851	                Saccharomonospora
0.03	5924	0	G	1835	                Saccharopolyspora
0.47	93978	0	O	85008	            Micromonosporales
0.47	93978	0	F	28056	              Micromonosporaceae
0.30	60348	0	G	1873	                Micromonospora
0.06	12252	0	G1	2617518	                  unclassified Micromonospora
0.09	18303	0	G	1865	                Actinoplanes
0.04	8875	0	G1	2626549	                  unclassified Actinoplanes
0.17	34408	0	O	85012	            Streptosporangiales
0.07	14395	0	F	2004	              Streptosporangiaceae
0.04	7812	0	G	83681	                Nonomuraea
0.06	12957	0	F	2012	              Thermomonosporaceae
0.05	10975	0	G	1988	                Actinomadura
0.04	7986	0	G1	2626254	                  unclassified Actinomadura
0.03	7055	0	F	83676	              Nocardiopsaceae
0.09	18251	0	O	2037	            Actinomycetales
0.09	18251	0	F	2049	              Actinomycetaceae
0.07	14465	0	G	1654	                Actinomyces
0.03	6783	0	G1	2609248	                  unclassified Actinomyces
0.05	10534	0	O	1643682	            Geodermatophilales
0.05	10534	0	F	85030	              Geodermatophilaceae
0.05	10348	0	O	85013	            Frankiales
0.05	10348	0	F	74712	              Frankiaceae
0.05	10348	0	G	1854	                Frankia
0.04	9005	0	O	1217098	            Jiangellales
0.04	9005	0	F	1217100	              Jiangellaceae
0.04	9005	0	G	281472	                Jiangella
0.03	6741	0	O	1643684	            Nakamurellales
0.03	6741	0	F	85031	              Nakamurellaceae
0.03	6741	0	G	53460	                Nakamurella
0.03	5250	0	O	85004	            Bifidobacteriales
0.03	5250	0	F	31953	              Bifidobacteriaceae
0.03	6447	0	C	84998	          Coriobacteriia
16.57	3346513	0	P	1239	        Firmicutes
13.79	2784321	0	C	91061	          Bacilli
13.53	2732282	0	O	1385	            Bacillales
12.76	2575908	0	O1	539002	              Bacillales incertae sedis
12.75	2574472	0	O2	539742	                Bacillales Family XII. Incertae Sedis
12.75	2574472	0	G	33986	                  Exiguobacterium
10.21	2061620	0	G1	2644629	                    unclassified Exiguobacterium
3.28	661546	661546	S	1399115	                      Exiguobacterium sp. MH3
2.74	552382	552382	S	1224749	                      Exiguobacterium sp. ZWU0009
3.56	718944	718944	S	1849031	                      Exiguobacterium sp. U13-1
0.34	68509	68509	S	2051906	                      Exiguobacterium sp. N4-1P
0.20	39845	39845	S	2735868	                      Exiguobacterium sp. Helios
0.10	20391	20391	S	360911	                      Exiguobacterium sp. AT1b
2.24	451757	451757	S	41170	                    Exiguobacterium acetylicum
0.15	29968	29968	S	132920	                    Exiguobacterium antarcticum
0.13	26667	26667	S	332410	                    Exiguobacterium sibiricum
0.37	75063	0	F	186817	              Bacillaceae
0.20	41101	0	G	1386	                Bacillus
0.06	12545	0	G1	185979	                  unclassified Bacillus (in: Bacteria)
0.05	9453	0	G1	86661	                  Bacillus cereus group
0.04	8452	0	G1	653685	                  Bacillus subtilis group
0.23	46438	0	F	186822	              Paenibacillaceae
0.19	38491	0	G	44249	                Paenibacillus
0.05	11016	0	G1	185978	                  unclassified Paenibacillus
0.03	5114	5114	S	1406	                  Paenibacillus polymyxa
0.08	16437	0	F	90964	              Staphylococcaceae
0.06	12467	0	G	1279	                Staphylococcus
0.05	9576	0	F	186818	              Planococcaceae
0.26	52038	0	O	186826	            Lactobacillales
0.10	20511	0	F	33958	              Lactobacillaceae
0.09	18562	0	F	1300	              Streptococcaceae
0.07	14890	0	G	1301	                Streptococcus
0.04	7347	0	F	81852	              Enterococcaceae
0.03	5726	0	G	1350	                Enterococcus
2.06	416855	0	C	186801	          Clostridia
2.02	408034	0	O	186802	            Eubacteriales
1.34	270346	0	F	216572	              Oscillospiraceae
1.28	257789	0	G	216851	                Faecalibacterium
1.28	257789	257789	S	853	                  Faecalibacterium prausnitzii
0.25	51470	0	F	31979	              Clostridiaceae
0.21	42895	0	G	1485	                Clostridium
0.03	5609	0	G1	2614128	                  unclassified Clostridium
0.03	5208	5208	S	1491	                  Clostridium botulinum
0.24	48522	0	F	186803	              Lachnospiraceae
0.05	9277	0	G	572511	                Blautia
0.03	6920	0	G	2316020	                Mediterraneibacter
0.03	5888	0	G	830	                Butyrivibrio
0.03	5113	0	G	841	                Roseburia
0.07	14070	0	F	186804	              Peptostreptococcaceae
0.04	7725	0	F	186807	              Peptococcaceae
0.03	6866	0	O1	538999	              Eubacteriales incertae sedis
0.03	5340	0	F	186806	              Eubacteriaceae
0.03	5556	0	O	68295	            Thermoanaerobacterales
0.63	127417	0	C	909932	          Negativicutes
0.47	95040	0	O	909929	            Selenomonadales
0.44	89700	0	F	1843491	              Selenomonadaceae
0.36	73525	0	G	970	                Selenomonas
0.15	29604	0	G1	2637378	                  unclassified Selenomonas
0.03	5403	5403	S	712528	                    Selenomonas sp. oral taxon 126
0.05	9326	9326	S	713030	                    Selenomonas sp. oral taxon 136
0.04	7783	7783	S	712538	                    Selenomonas sp. oral taxon 478
0.14	27356	27356	S	971	                  Selenomonas ruminantium
0.08	16564	16564	S	69823	                  Selenomonas sputigena
0.06	11280	0	G	158846	                Megamonas
0.03	6362	6362	S	158847	                  Megamonas hypermegale
0.03	5339	0	F	1843490	              Sporomusaceae
0.11	21534	0	O	1843489	            Veillonellales
0.11	21534	0	F	31977	              Veillonellaceae
0.04	8508	0	G	906	                Megasphaera
0.04	7129	7129	S	907	                  Megasphaera elsdenii
0.04	7909	0	G	29465	                Veillonella
0.03	5116	0	G	39948	                Dialister
0.05	10842	0	O	1843488	            Acidaminococcales
0.05	10842	0	F	909930	              Acidaminococcaceae
0.04	7312	0	G	33024	                Phascolarctobacterium
0.05	9577	0	C	526524	          Erysipelotrichia
0.05	9577	0	O	526525	            Erysipelotrichales
0.04	7870	0	F	128827	              Erysipelotrichaceae
0.04	7660	0	C	1737404	          Tissierellia
0.03	6589	0	O	1737405	            Tissierellales
0.11	21425	0	D2	1798711	        Cyanobacteria/Melainabacteria group
0.11	21425	0	P	1117	          Cyanobacteria
0.04	8574	0	O	1890424	            Synechococcales
0.03	6544	0	F	1890426	              Synechococcaceae
0.03	5559	0	G	1129	                Synechococcus
0.03	5363	0	G1	2626047	                  unclassified Synechococcus
0.03	6577	0	O	1161	            Nostocales
0.10	20017	0	P	200795	        Chloroflexi
0.07	15000	0	C	388447	          Ktedonobacteria
0.07	15000	0	O	388448	            Ktedonobacterales
0.07	15000	0	F	2692416	              Ktedonosporobacteraceae
0.07	15000	0	G	2692417	                Ktedonosporobacter
0.07	15000	15000	S	2509675	                  Ktedonosporobacter rubrisoli
0.08	15745	0	P	544448	        Tenericutes
0.07	14947	0	C	31969	          Mollicutes
0.03	6007	0	O	2085	            Mycoplasmatales
0.03	6007	0	F	2092	              Mycoplasmataceae
0.03	5304	0	O	186329	            Acholeplasmatales
0.03	5304	0	F	2146	              Acholeplasmataceae
0.04	7600	0	P	1297	        Deinococcus-Thermus
0.04	7600	0	C	188787	          Deinococci
0.03	5269	0	O	118964	            Deinococcales
0.03	5269	0	F	183710	              Deinococcaceae
0.03	5269	0	G	1298	                Deinococcus
2.83	572105	0	D1	1783270	      FCB group
2.82	570238	0	D2	68336	        Bacteroidetes/Chlorobi group
2.81	567071	0	P	976	          Bacteroidetes
1.21	244037	0	C	117743	            Flavobacteriia
1.21	244037	0	O	200644	              Flavobacteriales
0.93	188333	0	F	49546	                Flavobacteriaceae
0.23	47377	0	G	363408	                  Nonlabens
0.22	43483	43483	S	328515	                    Nonlabens dokdonensis
0.16	31772	0	G	237	                  Flavobacterium
0.06	11854	0	G1	196869	                    unclassified Flavobacterium
0.09	18809	0	G	1016	                  Capnocytophaga
0.07	14680	14680	S	1018	                    Capnocytophaga ochracea
0.08	16133	0	G	153265	                  Aequorivita
0.08	15480	0	G1	2615031	                    unclassified Aequorivita
0.08	15269	15269	S	2803865	                      Aequorivita sp. KX20305
0.06	12564	0	G	52959	                  Polaribacter
0.04	8519	0	G1	196858	                    unclassified Polaribacter
0.03	5246	0	G	286104	                  Winogradskyella
0.23	47398	0	F	2762318	                Weeksellaceae
0.13	26113	0	F1	2782232	                  Chryseobacterium group
0.10	19584	0	G	59732	                    Chryseobacterium
0.04	7361	0	G1	2593645	                      unclassified Chryseobacterium
0.03	6786	0	G	308865	                  Elizabethkingia
0.03	5947	0	F	39782	                Blattabacteriaceae
0.03	5947	0	G	34098	                  Blattabacterium
0.03	5603	5603	S	1653831	                    Blattabacterium cuenoti
0.85	171905	0	C	1853228	            Chitinophagia
0.85	171905	0	O	1853229	              Chitinophagales
0.85	171905	0	F	563835	                Chitinophagaceae
0.16	32953	0	G	1769012	                  Arachidicoccus
0.09	17853	0	G1	2636138	                    unclassified Arachidicoccus
0.05	11013	11013	S	2545455	                      Arachidicoccus sp. B3-10
0.03	6839	6839	S	1850526	                      Arachidicoccus sp. BS20
0.04	9069	9069	S	2341117	                    Arachidicoccus soli
0.03	6030	6030	S	496057	                    Arachidicoccus ginsenosidivorans
0.12	23497	0	G	79328	                  Chitinophaga
0.07	14917	0	G1	2619133	                    unclassified Chitinophaga
0.06	11834	11834	S	2033437	                      Chitinophaga sp. MD30
0.11	21703	0	G	1874621	                  Panacibacter
0.11	21703	21703	S	1813871	                    Panacibacter ginsenosidivorans
0.10	21092	0	G	398041	                  Flavisolibacter
0.06	12462	12462	S	1492898	                    Flavisolibacter tropicus
0.04	8629	8629	S	661481	                    Flavisolibacter ginsenosidimutans
0.07	14215	0	G	379899	                  Niabella
0.04	8298	8298	S	1176587	                    Niabella ginsenosidivorans
0.03	5916	5916	S	446683	                    Niabella soli
0.06	11531	0	G	649461	                  Lacibacter
0.06	11531	0	G1	2630913	                    unclassified Lacibacter
0.06	11531	11531	S	2760713	                      Lacibacter sp. S13-6-6
0.06	11275	0	G	649460	                  Filimonas
0.06	11275	11275	S	477680	                    Filimonas lacunae
0.05	9847	0	G	1004301	                  Flavihumibacter
0.05	9847	0	G1	2621068	                    unclassified Flavihumibacter
0.05	9847	9847	S	2676868	                      Flavihumibacter sp. SB-02
0.04	8674	0	G	354354	                  Niastella
0.04	8674	8674	S	354356	                    Niastella koreensis
0.03	6385	0	G	2812019	                  Pseudocnuella
0.03	6385	6385	S	2502779	                    Pseudocnuella soli
0.03	5829	0	G	2698688	                  Paraflavitalea
0.03	5829	5829	S	2315862	                    Paraflavitalea soli
0.32	64572	0	C	117747	            Sphingobacteriia
0.32	64572	0	O	200666	              Sphingobacteriales
0.32	64572	0	F	84566	                Sphingobacteriaceae
0.13	25483	0	G	84567	                  Pedobacter
0.09	17293	0	G1	2628915	                    unclassified Pedobacter
0.09	18346	0	G	423349	                  Mucilaginibacter
0.07	14955	0	G	28453	                  Sphingobacterium
0.03	5836	0	G1	2609468	                    unclassified Sphingobacterium
0.21	42826	0	C	768503	            Cytophagia
0.21	42826	0	O	768507	              Cytophagales
0.07	14919	0	F	1853232	                Hymenobacteraceae
0.04	8034	0	G	89966	                  Hymenobacter
0.06	12125	0	F	89373	                Cytophagaceae
0.05	9719	0	F	563798	                Cyclobacteriaceae
0.21	41959	0	C	200643	            Bacteroidia
0.20	40096	0	O	171549	              Bacteroidales
0.11	21411	0	F	815	                Bacteroidaceae
0.11	21411	0	G	816	                  Bacteroides
0.06	12379	12379	S	820	                    Bacteroides uniformis
0.10	20099	0	D1	1783257	      PVC group
0.07	14800	0	P	203682	        Planctomycetes
0.07	13219	0	C	203683	          Planctomycetia
0.03	6676	0	P	32066	      Fusobacteria
0.03	6676	0	C	203490	        Fusobacteriia
0.03	6676	0	O	203491	          Fusobacteriales
0.03	5202	0	F	203492	            Fusobacteriaceae
0.03	6022	0	P	203691	      Spirochaetes
0.03	6022	0	C	203692	        Spirochaetia
0.03	5349	0	P	57723	      Acidobacteria
0.11	21740	0	D	2759	    Eukaryota
0.11	21740	0	D1	33154	      Opisthokonta
0.11	21740	0	K	33208	        Metazoa
0.11	21740	0	K1	6072	          Eumetazoa
0.11	21740	0	K2	33213	            Bilateria
0.11	21740	0	K3	33511	              Deuterostomia
0.11	21740	0	P	7711	                Chordata
0.11	21740	0	P1	89593	                  Craniata
0.11	21740	0	P2	7742	                    Vertebrata
0.11	21740	0	P3	7776	                      Gnathostomata
0.11	21740	0	P4	117570	                        Teleostomi
0.11	21740	0	P5	117571	                          Euteleostomi
0.11	21740	0	P6	8287	                            Sarcopterygii
0.11	21740	0	C	1338369	                              Dipnotetrapodomorpha
0.11	21740	0	C1	32523	                                Tetrapoda
0.11	21740	0	C2	32524	                                  Amniota
0.11	21740	0	C	40674	                                    Mammalia
0.11	21740	0	C1	32525	                                      Theria
0.11	21740	0	C2	9347	                                        Eutheria
0.11	21740	0	C3	1437010	                                          Boreoeutheria
0.11	21740	0	C4	314146	                                            Euarchontoglires
0.11	21740	0	O	9443	                                              Primates
0.11	21740	0	O1	376913	                                                Haplorrhini
0.11	21740	0	O2	314293	                                                  Simiiformes
0.11	21740	0	O3	9526	                                                    Catarrhini
0.11	21740	0	O4	314295	                                                      Hominoidea
0.11	21740	0	F	9604	                                                        Hominidae
0.11	21740	0	F1	207598	                                                          Homininae
0.11	21740	0	G	9605	                                                            Homo
0.11	21740	21740	S	9606	                                                              Homo sapiens
0.09	17490	0	D	2157	    Archaea
0.08	15884	0	P	28890	      Euryarchaeota
0.07	14385	0	P1	2290931	        Stenosarchaea group
0.05	11084	0	C	183963	          Halobacteria
